Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,236.02,-90.365,45,top
C2,0.1uF,C_0402_1005Metric,232.62,-101.07,-90,top
C3,0.1uF,C_0402_1005Metric,225.37,-96.67,180,top
C4,0.1uF,C_0402_1005Metric,226.06,-91.66,90,top
C5,0.1uF,C_0402_1005Metric,234.52,-90.59,90,top
C6,0.1uF,C_0402_1005Metric,231.87,-87.39,90,top
C7,0.1uF,C_0402_1005Metric,232.83,-86.65,90,top
C8,0.1uF,C_0402_1005Metric,235.85,-92.015,0,top
C9,0.1uF,C_0402_1005Metric,236.84,-96.42,0,top
C10,1uF,C_0402_1005Metric,233.66,-101.08,-90,top
C11,0.1uF,C_0402_1005Metric,233.545,-90.26,90,top
C12,0.1uF,C_0402_1005Metric,230.845,-87.385,90,top
C13,10uF,C_0603_1608Metric,227.41,-74.62,180,top
C14,10uF,C_0603_1608Metric,228.42,-80.39,180,top
C15,33pF,C_0402_1005Metric,227.32,-103.24,-90,top
C16,33pF,C_0402_1005Metric,232.745,-102.94,90,top
C17,0.1uF,C_0402_1005Metric,228.47,-85.79,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,230.82,-68.44,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,221.93,-67.31,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,239.71,-67.31,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,228.28,-115.33,90,top
R1,5.1K,R_0402_1005Metric,229.47,-74.83,-90,top
R2,5.1K,R_0402_1005Metric,232.21,-74.76,-90,top
R3,27,R_0402_1005Metric,231.495,-89.93,-90,top
R4,27,R_0402_1005Metric,232.545,-89.93,-90,top
R5,1K,R_0402_1005Metric,230.76,-100.75,180,top
R6,1K,R_0402_1005Metric,234.345,-83.09,0,top
R7,10K,R_0402_1005Metric,226.54,-85.81,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,233.87,-79.69,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,230.82,-95.44,0,top
U2,MCP1700x-330xxTT,SOT-23,228.37,-77.49,90,top
U4,W25Q16JVUXIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,227.62,-87.765,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,229.97,-103.07,180,top